b,Z_PPP,Z_APP,eps
0.97,-0.2722317559992126,-0.017686802814142533,0.5592716800484088
0.99,-0.26840653808006504,-0.01325018667014143,0.18478663879839768
0.997,-0.2671324132212427,-0.011749504533011261,0.05561172974813747
0.999,-0.2667743357122094,-0.011325478331501115,0.018881667272714404
0.9997,-0.2666496273035816,-0.011177559259105801,0.00604461716769104
0.9999,-0.26661405506173047,-0.011135343128810607,0.002378644402588917
0.99997,-0.2666016109371726,-0.011120572354202798,0.0010957381790291838
1.0,-0.2665962787183935,-0.01111424279503441,0.0005459504653706029
1.00003,-0.26659094708600395,-0.011107913699454337,-3.819706224126066e-06
1.0001,-0.266578508890497,-0.011093147612239576,-0.0012865485600268448
1.0003,-0.26654298877217675,-0.011050972689802471,-0.004950962030539078
1.001,-0.26641887326956554,-0.010903522357692494,-0.017770275156728157
1.003,-0.2660660081885936,-0.010483617021073728,-0.054344407920665895
1.01,-0.2648511832284273,-0.009029818718931503,-0.18174558779507358
1.03,-0.26154795884536913,-0.005006080853857589,-0.5406351438452092
