 m | ring 8m | A(8m) all-odd | per coset | 240*sigma3(m) | r_D8(2m) | 2*(E8-D8) | match
 1 |      8 |          256 |       128 |          240 |      112 |       256 | YES
 2 |     16 |         2048 |      1024 |         2160 |     1136 |      2048 | YES
 3 |     24 |         7168 |      3584 |         6720 |     3136 |      7168 | YES
 4 |     32 |        16384 |      8192 |        17520 |     9328 |     16384 | YES
 5 |     40 |        32256 |     16128 |        30240 |    14112 |     32256 | YES
 6 |     48 |        57344 |     28672 |        60480 |    31808 |     57344 | YES
 7 |     56 |        88064 |     44032 |        82560 |    38528 |     88064 | YES
 8 |     64 |       131072 |     65536 |       140400 |    74864 |    131072 | YES
 9 |     72 |       193792 |     96896 |       181680 |    84784 |    193792 | YES
10 |     80 |       258048 |    129024 |       272160 |   143136 |    258048 | YES
11 |     88 |       340992 |    170496 |       319680 |   149184 |    340992 | YES
12 |     96 |       458752 |    229376 |       490560 |   261184 |    458752 | YES

ALL CHECKS PASS
