 m  | defect = 8X-8r(m/4) | -8*N_8(m) | N_8(m) | match
  8 |               -2048 |     -2048 |    256 | YES
 16 |              -16384 |    -16384 |   2048 | YES
 24 |              -57344 |    -57344 |   7168 | YES
 32 |             -131072 |   -131072 |  16384 | YES
 40 |             -258048 |   -258048 |  32256 | YES
 48 |             -458752 |   -458752 |  57344 | YES
 56 |             -704512 |   -704512 |  88064 | YES
 64 |            -1048576 |  -1048576 | 131072 | YES
 72 |            -1550336 |  -1550336 | 193792 | YES
 80 |            -2064384 |  -2064384 | 258048 | YES
 88 |            -2727936 |  -2727936 | 340992 | YES
 96 |            -3670016 |  -3670016 | 458752 | YES
104 |            -4501504 |  -4501504 | 562688 | YES
112 |            -5636096 |  -5636096 | 704512 | YES
120 |            -7225344 |  -7225344 | 903168 | YES
128 |            -8388608 |  -8388608 | 1048576 | YES
136 |           -10063872 | -10063872 | 1257984 | YES
144 |           -12402688 | -12402688 | 1550336 | YES
152 |           -14049280 | -14049280 | 1756160 | YES
160 |           -16515072 | -16515072 | 2064384 | YES
168 |           -19726336 | -19726336 | 2465792 | YES
176 |           -21823488 | -21823488 | 2727936 | YES
184 |           -24920064 | -24920064 | 3115008 | YES
192 |           -29360128 | -29360128 | 3670016 | YES
200 |           -32258048 | -32258048 | 4032256 | YES

ALL CHECKS PASS — the law's failure at d=8 IS the E8 glue count.
