kind      N window  points     baseZ          lo         hi        swing%  bigjump  teeth width(deg) spread  first@  levels  flat  check
decagon   6 poly     4990   521.298402 0.521159 0.617567  17.71 0.08300 10   8.25  0.00    0.0    15   852  360/360
decagon   6 round    4990    92.937074 2.929475 3.406004  15.39 0.46134 10  12.75  0.00    0.0     0     0  360/360
decagon   8 poly     8820   521.387831 0.521239 0.617632  17.71 0.08299 10   8.25  0.00    0.0    14   716  360/360
decagon   8 round    8820    93.025658 2.927638 3.403715  15.38 0.46090 10  12.75  0.00    0.0     0     0  360/360
decagon  10 poly    13580   521.429792 0.521276 0.617662  17.70 0.08298 10   8.25  0.00    0.0    14   648  360/360
decagon  10 round   13580    93.067559 2.926764 3.402627  15.38 0.46070 10  12.75  0.00    0.0     0     0  360/360
decagon  12 poly    19470   521.452985 0.521297 0.617679  17.70 0.08298 10   8.25  0.00    0.0    14   540  360/360
decagon  12 round   19470    93.090466 2.926290 3.402039  15.38 0.46058 10  12.75  0.00    0.0     0     0  360/360
decagon  14 poly    26290   521.466829 0.521309 0.617689  17.70 0.08298 10   8.25  0.00    0.0    13   496  360/360
decagon  14 round   26290    93.104401 2.926001 3.401678  15.38 0.46051 10  12.75  0.00    0.0     0     0  360/360
decagon  16 poly    34270   521.475880 0.521318 0.617696  17.70 0.08298 10   8.25  0.00    0.0    12   444  360/360
decagon  16 round   34270    93.113388 2.925817 3.401449  15.38 0.46047 10  12.75  0.00    0.0     0     0  360/360
octagon   8 poly     3144    46.844508 1.027269 1.295319  22.82 0.25447  8  16.75  0.00   22.5    24   808  360/360
octagon   8 round    3144    46.835706 1.027259 1.353955  27.15 0.24901  8  16.25  0.00   22.5     5   104  360/360
octagon  10 poly     4856    46.868265 1.027264 1.295178  22.81 0.25435  8  16.75  0.00   22.5    22   680  360/360
octagon  10 round    4856    46.859827 1.027257 1.353773  27.13 0.24888  8  16.25  0.00   22.5     3    48  360/360
octagon  14 poly     9288    46.890355 1.027239 1.295025  22.80 0.25423  8  16.75  0.00   22.5    20   472  360/360
octagon  14 round    9288    46.881768 1.027234 1.353598  27.12 0.24877  8  16.25  0.00   22.5     0     0  360/360
octagon  20 poly    18656    46.902174 1.027231 1.294953  22.79 0.25417  8  16.75  0.00   22.5    15   320  360/360
octagon  20 round   18656    46.893493 1.027228 1.353512  27.12 0.24871  8  16.25  0.00   22.5     0     0  360/360
octagon  28 poly    36224    46.907869 1.027227 1.294917  22.79 0.25414  8  16.75  0.00   22.5     7   136  360/360
octagon  28 round   36224    46.899183 1.027225 1.353470  27.11 0.24868  8  16.25  0.00   22.5     0     0  360/360
